ID,tip_r,indentation_depth,specimen_E,specimen_n,yield_stress,slope,slope_2,slope_3,work_total,work_elastic,work_plastic,work_ratio,curvature,curvature_linear,curvature_shift,h_ratio,norm_curvature,norm_curvature_linear,norm_curvature_shift,norm_slope,curvature_200,curvature_200_norm,curvature_200_norm_linear,curvature_200_norm_shift,work_total_trapz,work_elastic_trapz,work_plastic_trapz,work_ratio_trapz,alpha,exp,alpha_norm,exp_norm
7736,0.246,0.23,103035.9,0.275,3759.18,49581.54357507564,47118.56252194116,49842.19536341887,471.85116756500014,329.0658238360347,142.7853437289654,0.3026067403113841,75103.37902981338,7603.39507383868,-91.35085318242979,0.575,0.7162812834284826,0.31528539266443323,-0.016469525036555417,2.040595841085137,81033.04436781441,0.7273639495439843,0.30150520165043365,-0.01599696695398327,471.85116756500014,-329.0658238360347,800.9169914010347,1.697393259688616,4.600352036825251,7.013582906965147e-06,1.0064594730660044,1.6476971088320218
7737,0.385,0.23,107582.6,0.396,3600.7,51603.12199345665,48679.98060697385,51805.265654648974,516.6446049530001,370.89075608101797,145.7538488719821,0.2821162700135841,77363.48195403279,8965.25989187752,-88.7422801702375,0.6090000000000001,0.6839963791551426,0.3446298171508389,-0.014831761726847371,1.966811994232641,83353.87140624215,0.6910654440414823,0.3350978225199603,-0.014135984183091881,516.6446049530001,-370.89075608101797,887.5353610340181,1.7178837299864158,4.584980796142951,8.178260311620105e-07,1.003896152547645,1.6057381897647804
7738,0.28,0.23,120389.6,0.35100000000000003,3896.34,57817.71431848696,54784.375387496446,58132.13981244673,550.980217375,384.90555415210594,166.07466322289415,0.3014167441693516,87168.9055383275,8924.185476858425,-102.73455122439877,0.5920000000000001,0.7131301606228241,0.3174299930128172,-0.0158879568313717,2.0404666405487424,93969.06609898647,0.723343731493292,0.3044334136496866,-0.01530736905361963,550.980217375,-384.90555415210594,935.885771527106,1.6985832558306486,4.612913228082613,1.8017967393987632e-06,1.0057732957785808,1.6424305474648808
7739,0.753,0.23,116113.8,0.494,3505.4,55910.69206948505,52573.375541372305,56288.09072524464,614.81244869,450.8359514564,163.97649723359996,0.26670978699762793,78555.02772622803,12436.62232180807,-73.49049095693067,0.6599999999999999,0.6056203519366593,0.41687043096180615,-0.01071030885959949,1.864313451330424,84227.71746024651,0.6028545770025837,0.4165003936716573,-0.009490987857001228,614.81244869,-450.8359514564,1065.6484001464,1.7332902130023717,4.5424259672804554,5.73242031807524e-06,0.9991930615926832,1.5069845486303377
7741,0.557,0.23,174583.8,0.199,1014.86,100270.89299661553,98151.00252360578,100270.97795639957,442.87525110000007,145.72342058500004,297.1518305150001,0.6709605690924101,77137.57904601049,5675.62781864898,-34.34912097236058,0.26899999999999996,0.7670230400939777,0.24537396855674296,-0.006456578498115613,4.325721647530616,80463.72183159109,0.7648537162709638,0.24633204387171054,-0.005111397210317386,442.87525110000007,-145.72342058500004,588.5986716850001,1.3290394309075901,4.598420093045157,4.938461151481152e-06,0.9957209816735136,1.6848246421082416
7742,0.221,0.23,171996.0,0.424,1344.01,89369.15380937117,86147.12015473997,89767.4889827813,555.8713279150002,268.27232940599964,287.5989985090005,0.5173841212277422,101530.91398847089,6777.814079064358,-85.16401205867025,0.3880000000000001,0.7946137933998167,0.2306320315138245,-0.012599643621531596,3.0200911042273404,107514.84853684984,0.8026065704636216,0.21907225834452013,-0.011990435906299423,555.8713279150002,-268.27232940599964,824.1436573209999,1.482615878772258,4.658586804150996,9.413672746024565e-07,1.0051852216387485,1.7337081964434549
7743,0.295,0.23,151485.6,0.235,1123.26,84192.1041668391,81945.28601268154,84396.91444600263,414.31980136100015,158.15778755799963,256.16201380300043,0.6182712314534164,76831.72051058376,4771.342450129892,-51.48753313778643,0.3030000000000001,0.8021310516410355,0.2165795821195096,-0.010161344619024614,3.8038188943769873,80724.93394189207,0.8088772254185409,0.2095709754828788,-0.009416548625166159,414.31980136100015,-158.15778755799963,572.4775889189998,1.3817287685465836,4.625226294251204,1.1011383032244816e-06,1.0007423515713063,1.739570844372908
7744,0.456,0.23,148031.7,0.254,2166.77,78085.36386886776,75337.15016382607,78609.15695998141,554.0580561,284.4685389120003,269.58951718799966,0.4865726871397434,89329.90939921341,8468.920489931415,-74.8087939992607,0.42200000000000004,0.7244290634855821,0.2986064564483176,-0.01146821869287407,2.7369312855210812,95300.15382930287,0.7309739922575224,0.29057682307239285,-0.010184920021021594,554.0580561,-284.4685389120003,838.5265950120004,1.513427312860257,4.60804379031134,2.6475432489500085e-07,1.0015475247397017,1.6439972866549668
7745,0.8220000000000001,0.23,142415.3,0.27,2576.27,74670.16148469508,71902.99656351247,74850.92081831206,632.9704121000002,357.2931515776001,275.6772605224,0.4355294580165101,85434.71094480174,11952.167048813504,-57.55697726399265,0.49,0.6333827346181358,0.3852571399809529,-0.00806629814003345,2.389424837230196,91107.8027451706,0.6303599231686763,0.3853456596383661,-0.006175689982084977,632.9704121000002,-357.2931515776001,990.2635636775999,1.56447054198349,4.553669688106586,2.3676045105587877e-06,0.9974409777497284,1.5292095229974658
7746,0.8959999999999999,0.23,142771.2,0.319,2368.21,74709.15108647766,71628.5665203455,75244.8674513892,645.69469037,367.1269979699998,278.56769240000017,0.431423235399959,84522.24286487872,12545.844192088583,-53.522713754234466,0.49,0.6182730014837451,0.3990077313533503,-0.007401020625068744,2.356655082135643,90099.15649298935,0.6141261924861302,0.4005365236078803,-0.00540500800836522,645.69469037,-367.1269979699998,1012.8216883399997,1.5685767646000408,4.544931793674087,3.629479072095516e-07,0.9963032473395838,1.5111010435639478
7747,0.6579999999999999,0.23,151129.8,0.491,2451.16,75373.08747606857,71292.64984688051,75679.80126703113,690.35634521,437.6114224780217,252.74492273197828,0.3661079158403268,97615.01714587297,12552.141285203952,-84.28873541351197,0.5409999999999999,0.6557474838120471,0.3666147948321031,-0.010703699284238944,2.183723651012984,104323.85559236737,0.6554873469376046,0.3638938345735754,-0.009410709914332094,690.35634521,-437.6114224780217,1127.9677676880215,1.6338920841596731,4.581225600299921,3.5627754922003136e-06,0.9998222334664204,1.5618372441282542
7748,0.455,0.23,152644.5,0.488,3385.05,73908.11743710589,69673.43272058935,74287.60956348173,702.2754829500002,478.65488428919997,223.62059866080008,0.31842290395992817,105787.84348267764,11986.653933387366,-108.77787657847513,0.5920000000000001,0.6879567007424531,0.33891865683343075,-0.013372427914895915,2.0722219295475988,113571.71816045481,0.6933180367823879,0.3308604395544931,-0.01242775531182426,702.2754829500002,-478.65488428919997,1180.9303672392002,1.6815770960400718,4.609815660299653,1.3809656994837706e-06,1.0031943578644795,1.6057559781415924
7749,0.506,0.23,131513.4,0.18600000000000005,3980.17,65817.88499970204,62989.763908522196,66276.05224333945,601.47386756,382.9119985605,218.5618689995,0.3633771653058516,88647.13861523382,10506.178400960378,-86.6986721660346,0.5409999999999999,0.6768617583720522,0.34878049574906805,-0.01251388122609391,2.1711548239006544,95188.58547754222,0.6810284571280475,0.3414309250934528,-0.011324668951641623,601.47386756,-382.9119985605,984.3858661205,1.6366228346941485,4.58797187965787,1.7728435095907226e-07,1.0022923815346494,1.5904787988953732
7750,0.633,0.23,166583.6,0.086,3948.71,87144.00612968151,84384.00651289705,87466.90628212363,704.9596077900003,390.59628215001885,314.36332563998144,0.4459309755710526,103563.37406645557,12182.49997653035,-80.95224188970666,0.456,0.6770529354381751,0.3462780975352279,-0.01000436838906001,2.467853777284766,110540.29739812767,0.6761340887329429,0.34128592264822605,-0.00839666304648407,704.9596077900003,-390.59628215001885,1095.5558899400191,1.5540690244289477,4.592839557766171,1.7487285349850354e-06,1.0016026623317376,1.5822667977117395
7751,0.888,0.23,170175.4,0.374,3900.03,85311.98461907583,81031.2134731448,85836.58769417682,847.7705230800002,553.8184142239979,293.9521088560022,0.3467354677396153,107696.11228888149,17047.877491245825,-79.09603784809529,0.575,0.6033542645301462,0.4152549648598027,-0.008376668777391806,2.0627128802800083,114884.47544496752,0.5980747440424419,0.4175305924463633,-0.006749823213856639,847.7705230800002,-553.8184142239979,1401.5889373039981,1.6532645322603852,4.558061084339898,8.770894246936716e-07,0.99681232916485,1.498055254133597
7756,0.428,0.23,228209.3,0.073,1720.32,132469.1678130254,129915.38290712803,133004.01899890337,553.0950778400002,174.19525548000007,378.89982236000014,0.6850536870436742,100826.3814343215,6495.190610677744,-53.0779537759978,0.2520000000000001,0.7972811997109955,0.22330652770987275,-0.00793406778444347,4.544363398304856,105404.62602545098,0.7976949109780949,0.21981403227141288,-0.006829401621849937,553.0950778400002,-174.19525548000007,727.2903333200003,1.3149463129563257,4.643898779700872,2.3749320516419195e-06,1.0037501417667087,1.7214595571489442
7757,0.28300000000000003,0.23,213480.2,0.192,1870.34,117368.38745014227,114680.02665561016,117606.43602929694,597.42708265,235.02656697002791,362.40051567997216,0.6066020878606249,111193.6035982583,6838.363617219752,-76.56389621175028,0.3030000000000001,0.8059715563979076,0.21550843386524146,-0.0104907923579246,3.6860790719584986,116899.8535795482,0.8103370271583891,0.2070098616061228,-0.009734085063989541,597.42708265,-235.02656697002791,832.4536496200278,1.393397912139375,4.666913363871641,4.61998761790924e-07,1.0033253386428735,1.7430096776465926
7759,0.79,0.23,185457.5,0.3670000000000001,1763.37,98596.44463571998,95625.03470966664,98653.46534653458,709.8973393300002,350.1978409089998,359.6994984210004,0.5066922757598783,103247.90647393775,12234.926208025381,-59.759587807901056,0.42200000000000004,0.6715744449070362,0.3460082334792636,-0.007347928006261465,2.7797743573967284,108860.2489178758,0.6644907452303568,0.3490321347099861,-0.0058533601801821385,709.8973393300002,-350.1978409089998,1060.095180239,1.4933077242401216,4.583197620661926,1.6595955978334175e-06,0.9975493491604119,1.5697494785264574
7760,0.988,0.23,194239.6,0.345,3892.19,98879.35552696232,94404.67413671939,99249.46845439552,948.08021309,588.1914523611129,359.88876072888735,0.3795973755806287,118089.94061330162,19291.879293991497,-73.74318859211971,0.5409999999999999,0.5947897585681438,0.4224713615309306,-0.007021287942722263,2.1521192232335937,125548.69889865672,0.586252943417754,0.4262989186296711,-0.005217913696004801,948.08021309,-588.1914523611129,1536.271665451113,1.6204026244193712,4.555590747498597,5.607374730824091e-06,0.9962288556081258,1.4845919554043796
7761,0.382,0.23,179046.2,0.473,3749.09,86632.61020852762,81864.22106650543,87335.31632387401,791.2026735200002,529.2533323691578,261.9493411508423,0.3310774216490571,124520.70227585164,12750.215126069746,-128.90547672388763,0.575,0.7110207566195745,0.3165413099758317,-0.013914141726526046,2.1313507589624785,133628.2497560499,0.7184887381213262,0.30632925591253024,-0.013043367539939316,791.2026735200002,-529.2533323691578,1320.456005889158,1.6689225783509432,4.6341482664979115,1.241187225164917e-06,1.0040573745813586,1.634335130623506
7762,0.532,0.23,175077.5,0.172,3868.79,90228.51224596014,87121.81394421472,90433.17552013203,729.8770142900001,415.00155604541976,314.8754582445804,0.4314089251747168,111481.56884674064,12068.685920157888,-95.3504494253744,0.4730000000000001,0.6963805223347569,0.3277748871835221,-0.011259277675814815,2.442028044138332,118918.89978439148,0.6981041974446418,0.32211609187944995,-0.010045994195161912,729.8770142900001,-415.00155604541976,1144.87857033542,1.5685910748252831,4.611047433452999,1.981119413792819e-06,1.0020555369620394,1.609032827515226
